id,provstate,city,latitude,longitude,doubtterr,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,claimed,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,president_party,state_governor_party,date,Total Casualties
0,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,0,0,0,0,0,0,Republican,Republican,1/1/1970,0
1,California,Oakland,37.791927,-122.225906,TRUE,TRUE,Bombing/Explosion,Utilities,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",1/2/1970,0
2,Wisconsin,Madison,43.076592,-89.412488,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,New Year's Gang,TRUE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/2/1970,0
3,Wisconsin,Madison,43.07295,-89.386694,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,New Year's Gang,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/3/1970,0
4,Wisconsin,Baraboo,43.4685,-89.744299,TRUE,FALSE,Bombing/Explosion,Military,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/1/1970,0
5,Colorado,Denver,39.758968,-104.876305,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/6/1970,0
6,Michigan,Detroit,42.331685,-83.047924,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/9/1970,0
7,Puerto Rico,Rio Piedras,18.386932,-66.061127,TRUE,TRUE,Facility/Infrastructure Attack,Business,United States,Armed Commandos of Liberation,TRUE,Incendiary,0,0,0,0,0,0,Republican,New Progressive Party,1/9/1970,0
8,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/12/1970,0
9,Puerto Rico,Rio Grande,18.379998,-65.830948,FALSE,TRUE,Bombing/Explosion,Business,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,1/12/1970,0
10,Washington,Seattle,47.610786,-122.331306,FALSE,TRUE,Facility/Infrastructure Attack,Business,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/13/1970,0
11,Illinois,Champaign,40.116748,-88.23927,FALSE,TRUE,Facility/Infrastructure Attack,Police,United States,Black Nationalists,FALSE,Incendiary,0,0,0,1,1,0,Republican,Republican,1/14/1970,1
12,Washington,Seattle,47.610786,-122.331306,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/19/1970,0
13,Washington,Seattle,47.610786,-122.331306,FALSE,FALSE,Bombing/Explosion,Military,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/19/1970,0
14,New Jersey,Jersey City,40.717892,-74.067467,FALSE,TRUE,Facility/Infrastructure Attack,Violent Political Party,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/19/1970,0
15,Nebraska,South Sioux City,42.47031,-96.413949,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/22/1970,0
16,Mississippi,West Point,33.60651,-88.650419,TRUE,TRUE,Facility/Infrastructure Attack,Private Citizens & Property,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,1/25/1970,0
17,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,0,0,0,2,2,0,Republican,Republican,1/25/1970,2
18,Mississippi,West Point,33.60651,-88.650419,FALSE,TRUE,Bombing/Explosion,Government (General),United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,1/26/1970,0
19,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,0,0,0,0,0,0,Republican,Republican,1/26/1970,0
20,Ohio,Norwalk,41.241996,-82.615241,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,1/27/1970,0
21,Washington,Seattle,47.610786,-122.331306,TRUE,TRUE,Bombing/Explosion,Religious Figures/Institutions,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/28/1970,0
22,Nebraska,South Sioux City,42.479999,-96.413046,FALSE,TRUE,Bombing/Explosion,Business,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/30/1970,0
23,Nebraska,South Sioux City,42.46634,-96.41405,FALSE,TRUE,Bombing/Explosion,Business,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/30/1970,0
24,Florida,Coral Gables,25.720851,-80.277857,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",1/30/1970,0
25,Colorado,Denver,39.758968,-104.876305,TRUE,TRUE,Bombing/Explosion,Police,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,1/31/1970,0
26,Oregon,Portland,45.511795,-122.675629,TRUE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/1/1970,0
27,Illinois,Cairo,37.005105,-89.176269,FALSE,TRUE,Armed Assault,Police,United States,Black Nationalists,FALSE,Firearms,0,0,0,0,0,0,Republican,Republican,2/1/1970,0
28,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Facility/Infrastructure Attack,Business,United States,NA,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/2/1970,0
29,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Facility/Infrastructure Attack,Business,United States,NA,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/3/1970,0
30,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Facility/Infrastructure Attack,Business,United States,NA,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/3/1970,0
31,Ohio,Akron,41.084195,-81.514059,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/4/1970,0
32,Colorado,Denver,39.758968,-104.876305,FALSE,TRUE,Bombing/Explosion,Transportation,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/6/1970,0
33,Washington,Seattle,47.610786,-122.331306,FALSE,TRUE,Bombing/Explosion,Government (General),United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/6/1970,0
34,Washington,Seattle,47.610786,-122.331306,TRUE,TRUE,Bombing/Explosion,Religious Figures/Institutions,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/6/1970,0
35,Puerto Rico,Dorado,18.460791,-66.264884,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Armed Revolutionary Independence Movement (MIRA),TRUE,Incendiary,0,0,0,0,0,0,Republican,New Progressive Party,2/6/1970,0
36,Puerto Rico,Rio Piedras,18.386932,-66.061127,FALSE,TRUE,Facility/Infrastructure Attack,Utilities,United States,Armed Revolutionary Independence Movement (MIRA),TRUE,Incendiary,0,0,0,0,0,0,Republican,New Progressive Party,2/6/1970,0
37,Puerto Rico,Carolina,18.441963,-66.026316,FALSE,TRUE,Facility/Infrastructure Attack,Business,Puerto Rico,Armed Revolutionary Independence Movement (MIRA),TRUE,Incendiary,0,0,0,0,0,0,Republican,New Progressive Party,2/6/1970,0
38,Massachusetts,Boston,42.3505,-71.105399,TRUE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/6/1970,0
39,Wisconsin,Whitewater,42.838355,-88.743224,TRUE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/7/1970,0
40,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),TRUE,Explosives,0,0,0,0,0,0,Republican,Republican,2/8/1970,0
41,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),TRUE,Explosives,0,0,0,0,0,0,Republican,Republican,2/8/1970,0
42,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Business,United States,Armed Revolutionary Independence Movement (MIRA),TRUE,Explosives,0,0,0,0,0,0,Republican,Republican,2/9/1970,0
43,Ohio,Batavia,39.07859,-84.179414,TRUE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/9/1970,0
44,Michigan,Ypsilanti,42.263414,-83.665281,TRUE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/11/1970,0
45,California,Berkeley,37.874043,-122.280022,FALSE,TRUE,Bombing/Explosion,Police,United States,NA,FALSE,Explosives,0,0,0,7,0,0,Republican,"Democrat, Republican",2/13/1970,7
46,California,Berkeley,37.874043,-122.280022,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,7,7,0,Republican,"Democrat, Republican",2/13/1970,7
47,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/15/1970,0
48,Oregon,Eugene,44.04483,-123.072606,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,1,1,0,Republican,Republican,2/15/1970,1
49,California,San Francisco,37.755363,-122.443352,FALSE,TRUE,Bombing/Explosion,Police,United States,NA,FALSE,Explosives,1,0,0,0,0,0,Republican,"Democrat, Republican",2/16/1970,1
50,California,Berkeley,37.874043,-122.280022,NA,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",2/16/1970,0
51,California,Berkeley,37.874043,-122.280022,NA,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",2/16/1970,0
52,California,San Francisco,37.755363,-122.443352,FALSE,FALSE,Armed Assault,Police,United States,Left-Wing Militants,FALSE,Firearms,0,0,0,0,0,0,Republican,"Democrat, Republican",2/16/1970,0
53,California,Oakland,37.791927,-122.225906,TRUE,FALSE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",2/17/1970,0
54,Maryland,Buckeystown,39.334825,-77.431653,TRUE,TRUE,Bombing/Explosion,Utilities,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,2/17/1970,0
55,Louisiana,Covington,30.493919,-90.132512,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,2/17/1970,0
56,Washington,Seattle,47.610786,-122.331306,FALSE,FALSE,Bombing/Explosion,Military,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/17/1970,0
